datetime,portfolio_value,cash,return
2023-01-03 09:30:00-05:00,100000.0,100000.0,
2023-01-04 09:30:00-05:00,100154.70031738281,149968.09936523438,0.0015470031738280543
2023-01-05 09:30:00-05:00,100344.49920654297,149968.09936523438,0.00189505723204908
2023-01-06 09:30:00-05:00,100228.80126953125,149968.09936523438,-0.001153007269223294
2023-01-07 09:30:00-05:00,100228.80126953125,149968.09936523438,0.0
2023-01-09 09:30:00-05:00,99220.0,149968.09936523438,-0.010064983884406908
2023-01-10 09:30:00-05:00,99625.59936523438,149968.09936523438,0.004087879109397008
2023-01-11 09:30:00-05:00,98978.19793701172,149968.09936523438,-0.006498344123875621
2023-01-12 09:30:00-05:00,98400.9976196289,149968.09936523438,-0.005831590485716243
2023-01-13 09:30:00-05:00,98797.5,149968.09936523438,0.004029454883209382
2023-01-14 09:30:00-05:00,98797.5,149968.09936523438,0.0
2023-01-17 09:30:00-05:00,98165.69793701172,149968.09936523438,-0.006394919537319077
2023-01-18 09:30:00-05:00,98096.79809570312,149968.09936523438,-0.0007018728818369846
2023-01-19 09:30:00-05:00,99351.30126953125,149968.09936523438,0.012788421214362522
2023-01-20 09:30:00-05:00,99112.27456665039,225114.57653808594,-0.0024058739022693176
2023-01-21 09:30:00-05:00,99112.27456665039,225114.57653808594,0.0
2023-01-23 09:30:00-05:00,96974.01614379883,225114.57653808594,-0.021574103028113245
2023-01-24 09:30:00-05:00,96276.3349609375,225114.57653808594,-0.007194516743812773
2023-01-25 09:30:00-05:00,97222.72259521484,225114.57653808594,0.009829909236380052
2023-01-26 09:30:00-05:00,94903.5849609375,225114.57653808594,-0.023853864326892293
2023-01-27 09:30:00-05:00,94741.69149780273,172648.07220458984,-0.0017058729994383626
2023-01-28 09:30:00-05:00,94741.69149780273,172648.07220458984,0.0
2023-01-30 09:30:00-05:00,94907.67456054688,172648.07220458984,0.0017519537610111158
2023-01-31 09:30:00-05:00,95229.98126220703,172648.07220458984,0.0033960025166830388
2023-02-01 09:30:00-05:00,94442.54385375977,172648.07220458984,-0.008268797263323302
2023-02-02 09:30:00-05:00,93744.2711730957,93744.2711730957,-0.007393624230890183
2023-02-03 09:30:00-05:00,93744.2711730957,93744.2711730957,0.0
2023-02-04 09:30:00-05:00,93744.2711730957,93744.2711730957,0.0
2023-02-06 09:30:00-05:00,93744.2711730957,93744.2711730957,0.0
2023-02-07 09:30:00-05:00,93744.2711730957,93744.2711730957,0.0
2023-02-08 09:30:00-05:00,93744.2711730957,93744.2711730957,0.0
2023-02-09 09:30:00-05:00,93744.2711730957,93744.2711730957,0.0
2023-02-10 09:30:00-05:00,93744.2711730957,93744.2711730957,0.0
2023-02-11 09:30:00-05:00,93744.2711730957,93744.2711730957,0.0
2023-02-13 09:30:00-05:00,93744.2711730957,93744.2711730957,0.0
2023-02-14 09:30:00-05:00,93454.47243652341,140747.07131347654,-0.003091375429621457
2023-02-15 09:30:00-05:00,93556.82061157224,140747.07131347654,0.0010951661528917356
2023-02-16 09:30:00-05:00,93736.22033081052,140747.07131347654,0.0019175482670912292
2023-02-17 09:30:00-05:00,94050.17159423826,140747.07131347654,0.003349305768034494
2023-02-18 09:30:00-05:00,94050.17159423826,140747.07131347654,0.0
2023-02-21 09:30:00-05:00,94395.17159423826,140747.07131347654,0.003668254870266896
2023-02-22 09:30:00-05:00,94802.27257690427,140747.07131347654,0.004312730998741632
2023-02-23 09:30:00-05:00,94567.67159423826,140747.07131347654,-0.0024746345872216358
2023-02-24 09:30:00-05:00,96348.26699218748,211020.07088623045,0.018828796013813598
2023-02-25 09:30:00-05:00,96348.26699218748,211020.07088623045,0.0
2023-02-27 09:30:00-05:00,95057.77230224607,211020.07088623045,-0.01339406229326412
2023-02-28 09:30:00-05:00,96520.32351074216,316585.74959716795,0.01538591924756827
2023-03-01 09:30:00-05:00,98252.97048339841,474683.29396972654,0.017951110290916228
2023-03-02 09:30:00-05:00,102489.94753417966,711929.2961669922,0.04312314457197153
2023-03-03 09:30:00-05:00,91579.38942871091,711929.2961669922,-0.10645490965667781
2023-03-04 09:30:00-05:00,91579.38942871091,711929.2961669922,0.0
2023-03-06 09:30:00-05:00,83291.71511230466,711929.2961669922,-0.09049715627180188
2023-03-07 09:30:00-05:00,84269.43532714841,711929.2961669922,0.011738505006475775
2023-03-08 09:30:00-05:00,93627.99343261716,711929.2961669922,0.1110551894543641
2023-03-09 09:30:00-05:00,90325.95314941416,1068089.9692626954,-0.03526766047356811
2023-03-10 09:30:00-05:00,78635.95314941416,-443726.67380371084,-0.1294201676528427
2023-03-11 09:30:00-05:00,78635.95314941416,-443726.67380371084,0.0
2023-03-13 09:30:00-04:00,77981.32619628916,-443726.67380371084,-0.008324779275977745
2023-03-14 09:30:00-04:00,71822.38576660166,-443726.67380371084,-0.07897968308700787
2023-03-15 09:30:00-04:00,73064.8559814454,-443726.67380371084,0.0172992055552339
